national_number,gen,pokemon_name,primary_type,secondary_type,classification,height_m,weight_kg,hp,attack,defense,sp_attack,sp_defense,speed,abilities_0,abilities_1,is_sublegendary,is_legendary,is_mythical,evochain_1,evochain_2,evochain_3,evochain_4,mega_evolution,description,image
1,I,Bulbasaur,grass,poison,Seed Pokémon,0.7,6.9,45,49,49,65,65,45,Overgrow,,0,0,0,Bulbasaur,Ivysaur,Venusaur,,,There is a plant seed on its back right from the day this Pokémon is born. The seed slowly grows larger.,
2,I,Ivysaur,grass,poison,Seed Pokémon,1,13,60,62,63,80,80,60,Overgrow,,0,0,0,Bulbasaur,Ivysaur,Venusaur,,,"When the bulb on its back grows large, it appears to lose the ability to stand on its hind legs.",
3,I,Venusaur,grass,poison,Seed Pokémon,2,100,80,82,83,100,100,80,Overgrow,,0,0,0,Bulbasaur,Ivysaur,Venusaur,,Mega Venusaur,Its plant blooms when it is absorbing solar energy. It stays on the move to seek sunlight.,
4,I,Charmander,fire,,Lizard Pokémon,0.6,8.5,39,52,43,60,50,65,Blaze,,0,0,0,Charmander,Charmeleon,Charizard,,,"It has a preference for hot things. When it rains, steam is said to spout from the tip of its tail.",
5,I,Charmeleon,fire,,Flame Pokémon,1.1,19,58,64,58,80,65,80,Blaze,,0,0,0,Charmander,Charmeleon,Charizard,,,"It has a barbaric nature. In battle, it whips its fiery tail around and slashes away with sharp claws.",
6,I,Charizard,fire,flying,Flame Pokémon,1.7,90.5,78,84,78,109,85,100,Blaze,,0,0,0,Charmander,Charmeleon,Charizard,,Mega Charizard X,It spits fire that is hot enough to melt boulders. It may cause forest fires by blowing flames.,
7,I,Squirtle,water,,Tiny Turtle Pokémon,0.5,9,44,48,65,50,64,43,Torrent,,0,0,0,Squirtle,Wartortle,Blastoise,,,"When it retracts its long neck into its shell, it squirts out water with vigorous force.",
8,I,Wartortle,water,,Turtle Pokémon,1,22.5,59,63,80,65,80,58,Torrent,,0,0,0,Squirtle,Wartortle,Blastoise,,,"It is recognized as a symbol of longevity. If its shell has algae on it, that Wartortle is very old.",
9,I,Blastoise,water,,Shellfish Pokémon,1.6,85.5,79,83,100,85,105,78,Torrent,,0,0,0,Squirtle,Wartortle,Blastoise,,Mega Blastoise,"It crushes its foe under its heavy body to cause fainting. In a pinch, it will withdraw inside its shell.",
10,I,Caterpie,bug,,Worm Pokémon,0.3,2.9,45,30,35,20,20,45,Shield Dust,,0,0,0,Caterpie,Metapod,Butterfree,,,"For protection, it releases a horrible stench from the antenna on its head to drive away enemies.",
